Surname,First Name,domain_status,domain_tested
Abetz,Eric,wget_valid,http://www.ericabetz.com.au
Anning,Fraser,wget_valid,http://www.fraseranning.com.au
Bernardi,Cory,wget_valid,http://www.corybernardi.com.au
Bilyk,Catryna,wget_fail,http://www.catrynabilyk.com.au
Birmingham,Simon,wget_fail,http://www.simonbirmingham.com.au
Brockman,Slade,wget_valid,http://www.sladebrockman.com.au
Brown,Carol,wget_fail,http://www.carolbrown.com.au
Burston,Brian,wget_fail,http://www.brianburston.com.au
Cameron,Douglas,wget_fail,http://www.douglascameron.com.au
Canavan,Matthew,wget_fail,http://www.matthewcanavan.com.au
Carr,Kim,wget_fail,http://www.kimcarr.com.au
Cash,Michaelia,wget_valid,http://www.michaeliacash.com.au
Chisholm,Anthony,wget_fail,http://www.anthonychisholm.com.au
Colbeck,Richard ,wget_fail,http://www.richard colbeck.com.au
Collins,Jacinta,wget_fail,http://www.jacintacollins.com.au
Cormann,Mathias,wget_valid,http://www.mathiascormann.com.au
Di Natale,Richard,wget_fail,http://www.richarddi natale.com.au
Dodson,Patrick,wget_valid,http://www.patrickdodson.com.au
Duniam,Jonathon,wget_fail,http://www.jonathonduniam.com.au
Farrell,Donald,wget_fail,http://www.donaldfarrell.com.au
Faruqi,Mehreen,wget_fail,http://www.mehreenfaruqi.com.au
Fawcett,David,wget_fail,http://www.davidfawcett.com.au
Fierravanti-Wells,Concetta,wget_fail,http://www.concettafierravanti-wells.com.au
Fifield,Mitchell,wget_fail,http://www.mitchellfifield.com.au
Gallacher,Alexander,wget_fail,http://www.alexandergallacher.com.au
Georgiou,Peter,wget_fail,http://www.petergeorgiou.com.au
Gichuhi,Lucy,wget_fail,http://www.lucygichuhi.com.au
Griff,Stirling,wget_fail,http://www.stirlinggriff.com.au
Hanson,Pauline,wget_valid,http://www.paulinehanson.com.au
Hanson-Young,Sarah,wget_fail,http://www.sarahhanson-young.com.au
Hinch,Derryn,wget_valid,http://www.derrynhinch.com.au
Hume,Jane,wget_valid,http://www.janehume.com.au
Keneally,Kristina,wget_fail,http://www.kristinakeneally.com.au
Ketter,Christopher,wget_fail,http://www.christopherketter.com.au
Kitching,Kimberley,wget_fail,http://www.kimberleykitching.com.au
Leyonhjelm,David,wget_valid,http://www.davidleyonhjelm.com.au
Lines,Susan,wget_fail,http://www.susanlines.com.au
Macdonald,Ian,wget_fail,http://www.ianmacdonald.com.au
Marshall,Gavin,wget_fail,http://www.gavinmarshall.com.au
Martin,Steven,wget_valid,http://www.stevenmartin.com.au
McAllister,Jennifer,wget_fail,http://www.jennifermcallister.com.au
McCarthy,Malarndirri,wget_valid,http://www.malarndirrimccarthy.com.au
McGrath,James,wget_valid,http://www.jamesmcgrath.com.au
McKenzie,Bridget,wget_valid,http://www.bridgetmckenzie.com.au
McKim,Nicholas,wget_fail,http://www.nicholasmckim.com.au
Molan,Andrew,wget_valid,http://www.andrewmolan.com.au
Moore,Claire,wget_fail,http://www.clairemoore.com.au
O'Neill,Deborah,wget_fail,http://www.deboraho'neill.com.au
O'Sullivan,Barry,wget_fail,http://www.barryo'sullivan.com.au
Paterson,James,wget_fail,http://www.jamespaterson.com.au
Patrick,Rex,wget_fail,http://www.rexpatrick.com.au
Payne,Marise,wget_fail,http://www.marisepayne.com.au
Polley,Helen,wget_fail,http://www.helenpolley.com.au
Pratt,Louise,wget_fail,http://www.louisepratt.com.au
Reynolds,Linda,wget_fail,http://www.lindareynolds.com.au
Rice,Janet,wget_fail,http://www.janetrice.com.au
Ruston,Anne,wget_valid,http://www.anneruston.com.au
Ryan,Scott,wget_valid,http://www.scottryan.com.au
Scullion,Nigel,wget_fail,http://www.nigelscullion.com.au
Seselja,Zdenko,wget_fail,http://www.zdenkoseselja.com.au
Siewert,Rachel,wget_fail,http://www.rachelsiewert.com.au
Singh,Lisa,wget_valid,http://www.lisasingh.com.au
Sinodinos,Arthur,wget_valid,http://www.arthursinodinos.com.au
Smith,David,wget_valid,http://www.davidsmith.com.au
Smith,Dean,wget_valid,http://www.deansmith.com.au
Steele-John,Jordon,wget_fail,http://www.jordonsteele-john.com.au
Sterle,Glenn,wget_fail,http://www.glennsterle.com.au
Stoker,Amanda,wget_valid,http://www.amandastoker.com.au
Storer,Timothy,wget_fail,http://www.timothystorer.com.au
Urquhart,Anne,wget_fail,http://www.anneurquhart.com.au
Waters,Larissa,wget_valid,http://www.larissawaters.com.au
Watt,Murray,wget_fail,http://www.murraywatt.com.au
Whish-Wilson,Peter,wget_fail,http://www.peterwhish-wilson.com.au
Williams,John,wget_valid,http://www.johnwilliams.com.au
Wong,Penny,wget_fail,http://www.pennywong.com.au
